Response_ID,今年的中秋節您有與家人團聚嗎？（延後到國慶連假也算）,今年中秋節（含國慶連假）團圓時您有烤肉嗎？,肉片:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,香腸:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,黑輪:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,玉米:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,貢丸:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,米血:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,蔬菜:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,海鮮:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,雞翅、雞腿:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,豆干、豆腐:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,我喜歡的是：:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,對於這種「到府烤肉」服務，您的感受是？,喜歡，因為…:對於這種「到府烤肉」服務，您的感受是？,不喜歡，因為…:對於這種「到府烤肉」服務，您的感受是？,如果大家都烤肉，您會覺得「不好玩」嗎？,如果大家都烤肉，您會覺得「不好玩」嗎？: Comments,無論您喜不喜歡烤肉，現在我們來談談對它的印象吧。 您覺得戶外的烤肉對您的健康有多大影響？,對您來說，烤肉費用的支出是不是一種負擔？,對您來說，烤肉費用的支出是不是一種負擔？: Comments,準備烤肉食材對您來說會不會很麻煩？,在烤肉活動中，請問下列哪一項是您最無法忍受的？,我最受不了的是：:在烤肉活動中，請問下列哪一項是您最無法忍受的？,在烤肉活動中，請問下列哪一項是您最無法忍受的？: Comments,您在不在意您烤肉時造成的污染嗎？,您在不在意您烤肉時造成的污染嗎？: Comments,請問這樣的活動對您來說有趣嗎？,請問您是否參與過這類的大型烤肉活動？,我覺得「封街烤肉」…,我覺得：:我覺得「封街烤肉」…,請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？,集體烤肉，因為：:請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？,自己烤，因為：:請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？,請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？: Comments,最後，我們來談談節慶與團聚。 請問您覺得一天之內自己可以自由支配的時間（用來做自己想做的事）大約有多少？,春節:請問您今年挑了什麼時間與全家團聚（可複選）？,端午:請問您今年挑了什麼時間與全家團聚（可複選）？,中秋:請問您今年挑了什麼時間與全家團聚（可複選）？,長假連假:請問您今年挑了什麼時間與全家團聚（可複選）？,平時週休或排假時:請問您今年挑了什麼時間與全家團聚（可複選）？,以上都沒有:請問您今年挑了什麼時間與全家團聚（可複選）？,說回到烤肉，請問您明年會不會想全家人一起烤肉？,"平時用社群媒體（Line, Facebook等）與家人聯繫感情。您覺得夠不夠？","我有其他想法：:平時用社群媒體（Line, Facebook等）與家人聯繫感情。您覺得夠不夠？","平時用社群媒體（Line, Facebook等）與家人聯繫感情。您覺得夠不夠？: Comments",大家圍著烤肉比其他活動要較為容易聯絡感情。,"「請問您多常使用手機上的社群媒體（Line, FB等）APP與家人聯絡？」",請問您使用手機與家人聯絡時，比較喜歡使用文字簡訊（例如Line留言），還是使用講話（含視訊）？,關於性別，您會以生理性別或社會性別來描述自己？,Gender,Social_gender,Bornyear,Edu,Residence,Job,Other_Job
5,1,1,1,,,,,,7,8,,,,3,,,2,,2,2,,1,2,,,1,,1,2,2,,3,,,,2,1,,3,,5,,6,3,,,1,1,1,,0,0,1985,大學,2,事務工作人員,
6,1,1,1,2,3,,,,,8,9,,,3,,,2,,2,2,,2,2,,,1,,1,2,2,,3,,,,1,,,,4,,,1,2,,,1,2,1,,1,0,1988,大學,12,民意代表/行政主管/企業主管及經理人員,
7,1,1,1,,,4,,6,,,,10,,1,,,1,,1,2,,1,2,,,1,,2,2,5,,3,,,,2,1,,3,,5,,5,3,,,1,1,1,,1,0,1992,研究所以上,2,現役軍人,
8,2,2,,,,,,,,,,,,1,,,1,,2,2,,1,90,碳燒煙味,,2,,1,1,2,,2,,,,2,1,2,,4,,,8,2,,,1,2,1,,0,0,1967,專科,14,服務工作人員及銷售員,
9,1,1,1,2,,,,,,,,,,3,,,2,,1,2,,2,1,,,1,,1,2,2,,1,,,,2,1,,3,,,,8,3,,,1,2,1,,0,0,1988,大學,14,待業或無業,
10,2,2,,,,,,,,,,,,3,,,2,,1,2,,1,2,,,1,,2,1,4,,3,,,,3,1,,,,5,,2,2,,,2,1,2,,0,0,1991,大學,7,事務工作人員,
11,1,1,,,,,,,7,,,,,3,,,1,,2,2,,1,3,,,2,,1,2,3,,3,,,,2,,2,,,,,7,2,,,1,2,2,,0,0,1987,高中/職,2,家管,
12,1,2,,,,,,,,,,,,1,,,2,,2,2,,1,1,,,1,,2,2,4,,3,,,,2,1,2,3,4,5,,5,3,,,2,1,2,,0,0,1994,研究所以上,8,學生,
13,1,1,1,,,,,,7,,,,,3,,,2,,2,1,,1,4,,,1,,1,2,3,,2,,,,2,1,2,3,,5,,6,2,,,1,1,1,,1,4,1983,大學,2,其他,
14,1,1,1,,,,,,7,8,,,90,92,,其實我想填不一定，但沒有這選項，如果是有外來客人參加我會選代烤，如果全家人，我會自己烤，所以不一定,2,,2,2,,2,90,竹籤難處理,,2,,2,2,90,很無聊，要烤自己在家烤，對自己垃圾負責，不是自己的地方就不會在意整理這是人性,3,,,,3,1,,3,4,,,5,2,,,2,2,1,,0,0,1975,大學,8,服務工作人員及銷售員,
15,1,2,,,,,,,,,,,,3,,,2,,2,1,,1,3,,,1,,2,2,5,,3,,,,2,,,,4,,,5,3,,,2,2,1,,1,0,1985,研究所以上,2,技術工作及有關工作人員,
16,2,2,,,,,,,,,,,,1,,,2,,3,1,,1,2,,,1,,2,2,4,,4,,,,2,,,,,,99,5,2,,,2,1,2,,1,0,1985,大學,8,其他,
17,1,1,,2,,,,,,,,,,1,,,2,,2,1,,1,5,,,2,,2,1,4,,99,,,,3,,2,,,,,5,3,,,1,3,1,,1,0,1997,大學,6,學生,
18,1,1,,,3,,,6,,8,,,,3,,,2,,2,2,,2,1,,,2,,1,2,2,,3,,,,2,1,2,3,4,5,,8,3,,,1,3,2,,1,0,1973,大學,6,事務工作人員,
20,1,2,,,,,,,,,,,,1,,,2,,2,2,,1,1,,,1,,2,2,90,不喜歡，感覺很吵雜,4,,,,2,,,,,5,,7,4,,,1,2,2,,0,0,1995,大學,1,學生,
21,1,1,1,,,,,6,7,,,10,,3,,,2,,2,2,,2,2,,,1,,1,1,4,,3,,,,2,,,,4,,,6,3,,,1,2,2,,0,0,1987,大學,5,專業人員,
22,2,1,1,,,,,,7,8,,,,1,,,2,,1,2,,1,1,,,1,,2,2,4,,3,,,,2,,,,,5,,3,3,,,2,2,1,,0,0,1991,,2,,
24,1,1,,,3,4,,,,,,,,2,,,2,,1,2,,1,1,,,1,,1,2,4,,99,,,,3,1,,,,,,2,4,,,2,2,2,,0,5,1968,高中/職,4,技術工作及有關工作人員,
25,1,1,1,,,4,5,6,7,8,9,,,2,,,2,,1,1,,1,4,,,1,,1,1,2,,1,,,,3,1,2,3,4,5,,9,3,,,2,1,1,,1,0,1965,大學,8,事務工作人員,
26,2,1,,,,,,,,,,10,,92,,不健康,1,,1,3,,1,2,,,2,,1,1,4,,99,,,,3,,,3,,,,3,4,,,2,2,1,,1,0,1965,專科,4,技術員及助理專業人員,
28,1,1,1,2,,,,,7,8,9,,,3,,,2,,2,3,,2,5,,,3,,1,2,2,,3,,,,2,,,3,4,5,,5,2,,,1,1,1,,1,0,1985,大學,9,專業人員,
31,1,2,,,,,,,,,,,,92,,很怪,1,,3,3,,1,1,,,1,,2,2,90,雜亂又沒意義,3,,,,2,1,,3,4,5,,0,1,,,2,1,1,,0,0,1991,研究所以上,16,學生,
32,2,2,,,,,,,,,,,,3,,,2,,2,1,,1,4,,,1,,2,2,4,,3,,,,3,1,,,,5,,6,3,,,1,1,1,,0,0,1980,專科,15,技術員及助理專業人員,
33,2,2,,,,,,,,,,,,3,,,2,,3,2,,1,3,,,2,,1,2,2,,3,,,,1,,,,,5,,6,3,,,2,1,1,,0,0,1983,大學,4,事務工作人員,
34,1,1,,2,3,4,5,,,8,9,10,,3,,,2,,2,2,,2,5,,,2,,2,2,4,,3,,,,2,1,2,3,4,5,,9,3,,,1,2,1,,1,0,1980,大學,6,事務工作人員,
35,1,1,,,3,4,5,6,,8,,10,,1,,,2,,1,1,,1,1,,,1,,1,2,2,,1,,,,3,1,,3,4,,,10,3,,,2,1,1,,1,0,1954,高中/職,15,技術工作及有關工作人員,
36,2,2,,,,,,,,,,,,3,,,1,,1,1,,1,2,,,1,,2,2,5,,99,,,,2,1,,,,,,0,2,,,2,2,1,,0,4,1981,高中/職,8,家管,
37,1,1,1,2,3,4,,,7,8,9,,90,3,,,2,,3,1,,2,2,,,1,,1,2,4,,3,,,,3,,,3,,,,10,1,,,1,3,1,,1,0,1973,專科,15,專業人員,
38,2,2,,,,,,,,,,,,3,,,2,,2,2,,1,90,烤肉聚會到半夜2-3點仍不解散，吵到鄰居安寧,,2,,1,1,3,,2,,,,1,1,,,,5,,6,2,,,1,1,1,,0,0,1989,研究所以上,8,事務工作人員,
39,1,2,,,,,,,,,,,,92,,烤肉不健康,2,,1,1,,1,1,,,1,,2,2,5,,99,,,,3,,,,,5,,1,2,,,2,2,1,,0,0,1979,大學,15,服務工作人員及銷售員,
40,1,1,,2,,,,,7,8,,,,3,,,2,,2,2,,1,5,,,1,,2,2,4,,3,,,,2,1,,3,4,5,,7,3,,,2,1,1,,0,0,1981,高中/職,2,服務工作人員及銷售員,
41,1,2,,,,,,,,,,,,3,,,2,,2,1,,1,2,,,2,,2,1,4,,3,,,,1,1,,3,4,,,6,3,,,2,2,1,,0,0,1987,大學,2,技術員及助理專業人員,
42,1,1,1,,,,,,,,,10,,1,,,2,,2,2,,1,2,,,2,,2,1,4,,4,,,,2,1,2,3,4,5,,9,3,,,2,1,1,,0,0,1981,專科,8,事務工作人員,
43,1,2,,,,,,,,,,,,1,,,2,,1,2,,1,1,,,1,,1,2,2,,1,,,,1,1,,3,,,,6,3,,,2,1,1,,0,0,1968,高中/職,12,技術工作及有關工作人員,
44,1,1,1,2,,,,6,,8,9,,,3,,,2,,2,2,,2,5,,,2,,2,2,4,,3,,,,3,1,,3,,5,,8,2,,,2,1,1,,1,0,1987,高中/職,2,技術工作及有關工作人員,
45,1,2,,,,,,,,,,,,2,,,2,,2,2,,1,5,,,2,,1,2,1,,3,,,,2,1,,,,5,,6,3,,,1,2,1,,0,0,1980,大學,1,事務工作人員,
46,1,1,1,2,3,,,6,7,8,9,10,,3,,,2,,2,2,,2,2,,,2,,2,2,5,,3,,,,2,1,,3,,,,10,3,,,1,1,2,,0,0,1988,大學,13,事務工作人員,
47,1,1,1,2,3,,,,,,,,,3,,,2,,2,2,,1,2,,,1,,1,2,1,,3,,,,2,1,2,3,4,5,,10,3,,,1,2,1,,0,0,1994,大學,9,學生,
48,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,1,,,1,,2,2,5,,3,,,,2,,,,,5,,4,2,,,1,1,1,,0,0,1973,專科,2,事務工作人員,
49,2,2,,,,,,,,,,,,1,,,2,,1,1,,1,2,,,2,,1,2,2,,2,,,,2,1,,,,,,5,3,,,1,2,1,,0,0,1983,研究所以上,2,事務工作人員,
50,1,1,1,2,,4,,,,8,,10,,1,,,2,,1,1,,1,1,,,1,,1,1,2,,3,,,,3,1,,3,4,,,8,4,,,1,1,2,,0,0,1972,高中/職,2,事務工作人員,
54,2,2,,,,,,,,,,,,3,,,2,,2,2,,2,2,,,1,,1,2,2,,3,,,,3,,,,,,99,4,2,,,1,1,1,,1,0,1968,大學,1,技術工作及有關工作人員,
55,1,1,1,2,,,,,,8,,,,3,,,2,,1,1,,1,2,,,1,,2,2,4,,3,,,,2,1,,3,,,,4,2,,,2,1,1,,1,0,1985,研究所以上,2,專業人員,
56,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,2,,,2,,1,2,2,,3,,,,2,1,,3,,5,,7,3,,,1,1,1,,0,0,1973,大學,1,專業人員,
57,1,1,,,,,,,,,,10,,3,,,2,,1,2,,1,5,,,2,,2,2,1,,3,,,,1,,,,,5,,7,1,,,2,1,1,,1,0,1983,研究所以上,15,技術員及助理專業人員,
58,1,1,1,,,,,,,,,,,92,,團圓的日子有外人不自在,2,,2,2,,1,2,,,1,,2,2,4,,3,,,,3,1,,,4,5,,8,3,,,2,1,1,,0,4,1995,大學,2,學生,
59,1,2,,,,,,,,,,,,2,,,2,,2,2,,1,4,,,1,,2,2,5,,3,,,,3,1,2,3,4,,,5,3,,,2,2,1,,0,0,1980,專科,2,事務工作人員,
60,1,1,1,,,,,6,,,9,,,2,,,2,,1,2,,1,1,,,1,,2,1,5,,3,,,,1,1,,3,4,5,,4,3,,,2,1,2,,1,0,1999,大學,8,學生,
61,1,2,,,,,,,,,,,,1,,,2,,1,2,,1,1,,,1,,1,2,4,,3,,,,2,,,3,,,,8,3,,,2,3,2,,0,0,1995,大學,15,學生,
62,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,1,,,2,,2,2,4,,3,,,,2,1,2,3,4,5,,3,2,,,1,1,1,,1,0,1984,大學,2,技術員及助理專業人員,
63,2,1,1,,3,4,5,6,,,9,10,,1,,,1,,2,2,,1,4,,,1,,1,2,3,,2,,,,2,,,,4,,,7,2,,,1,1,1,,1,0,1975,專科,8,技術工作及有關工作人員,
64,1,1,1,2,3,,,6,,8,,,,3,,,2,,2,2,,1,2,,,1,,1,1,2,,1,,,,2,,,,4,,,9,3,,,1,1,2,,1,0,1964,專科,9,技術工作及有關工作人員,
65,1,1,1,2,,4,,,,8,,,,3,,,2,,2,2,,1,5,,,2,,2,2,4,,3,,,,3,,,3,,5,,6,3,,,1,1,1,,0,0,1995,研究所以上,12,學生,
66,1,1,1,2,,4,,,7,8,,,,3,,,2,,2,2,,1,2,,,2,,1,2,2,,1,,,,2,1,,3,4,,,9,4,,,1,1,1,,0,0,1984,大學,12,技術員及助理專業人員,
67,1,2,,,,,,,,,,,,92,,沒有一起烤的樂趣,2,,1,2,,2,1,,,1,,1,2,90,很自私空間是大家的馬路不是用來烤肉的,3,,,,3,1,2,3,4,5,,10,3,,,1,2,1,,1,0,2000,高中/職,15,學生,
68,1,1,,,,4,,,7,,,10,,92,,幾乎不烤肉,1,幾乎不烤肉,1,1,,1,1,,,1,,2,2,5,,99,,,,1,1,,3,,5,,0,3,,,2,1,2,,0,0,1968,大學,15,服務工作人員及銷售員,
