"","ID","FEMALE","ICE_CREAM","VIDEO","PUZZLE"
"1",70,0,1,47,57
"2",121,1,2,63,61
"3",86,0,3,58,31
"4",141,0,3,53,56
"5",172,0,2,53,61
"6",113,0,2,63,61
"7",50,0,2,53,61
"8",11,0,2,39,36
"9",84,0,2,58,51
"10",48,0,2,50,51
"11",75,0,2,53,61
"12",60,0,2,63,61
"13",95,0,3,61,71
"14",104,0,3,55,46
"15",38,0,1,31,56
"16",115,0,1,50,56
"17",76,0,3,50,56
"18",195,0,2,58,56
"19",114,0,3,55,61
"20",85,0,2,53,46
"21",167,0,2,66,41
"22",143,0,2,72,66
"23",41,0,2,55,56
"24",20,0,3,61,61
"25",12,0,2,39,46
"26",53,0,2,39,31
"27",154,0,3,61,66
"28",178,0,2,58,46
"29",196,0,3,39,46
"30",29,0,1,55,41
"31",126,0,2,47,51
"32",103,0,3,64,61
"33",192,0,3,66,71
"34",150,0,2,72,31
"35",199,0,3,61,61
"36",144,0,3,61,66
"37",200,0,2,66,66
"38",80,0,3,66,66
"39",16,0,1,36,36
"40",153,0,2,39,51
"41",176,0,2,42,51
"42",177,0,2,58,51
"43",168,0,2,55,51
"44",40,0,1,50,41
"45",62,0,3,63,66
"46",169,0,1,69,46
"47",49,0,3,49,47
"48",136,0,2,63,51
"49",189,0,2,53,46
"50",7,0,2,47,51
"51",27,0,2,57,56
"52",128,0,3,47,41
"53",21,0,2,50,46
"54",183,0,2,55,71
"55",132,0,2,69,66
"56",15,0,3,26,42
"57",67,0,1,33,32
"58",22,0,2,56,46
"59",185,0,2,58,41
"60",9,0,2,44,51
"61",181,0,2,58,61
"62",170,0,3,69,66
"63",134,0,1,34,46
"64",108,0,2,36,36
"65",197,0,3,36,61
"66",140,0,2,50,26
"67",171,0,2,55,66
"68",107,0,1,42,26
"69",81,0,1,65,44
"70",18,0,2,44,36
"71",155,0,2,39,51
"72",97,0,3,58,61
"73",68,0,2,63,66
"74",157,0,2,74,66
"75",56,0,2,58,51
"76",5,0,1,45,31
"77",159,0,3,49,61
"78",123,0,3,63,66
"79",164,0,2,39,46
"80",14,0,3,42,56
"81",127,0,3,55,56
"82",165,0,1,61,36
"83",174,0,2,66,56
"84",3,0,1,63,56
"85",58,0,2,44,41
"86",146,0,3,63,66
"87",102,0,3,53,56
"88",117,0,3,42,56
"89",133,0,2,34,31
"90",94,0,3,61,56
"91",24,0,2,47,46
"92",149,0,1,66,46
"93",82,1,3,69,61
"94",8,1,1,44,48
"95",129,1,1,47,51
"96",173,1,1,63,51
"97",57,1,2,66,56
"98",100,1,3,69,71
"99",1,1,1,39,41
"100",194,1,3,61,61
"101",88,1,3,69,66
"102",99,1,3,66,61
"103",47,1,1,33,41
"104",120,1,3,50,51
"105",166,1,2,61,51
"106",65,1,2,42,56
"107",101,1,3,50,56
"108",89,1,1,51,33
"109",54,1,1,50,56
"110",180,1,3,58,71
"111",162,1,2,61,56
"112",4,1,1,39,51
"113",131,1,3,46,66
"114",125,1,1,59,56
"115",34,1,3,55,66
"116",106,1,2,42,41
"117",130,1,3,55,46
"118",93,1,3,58,66
"119",163,1,1,58,56
"120",37,1,1,39,51
"121",35,1,1,50,51
"122",87,1,2,50,56
"123",73,1,2,39,56
"124",151,1,2,48,46
"125",44,1,1,34,46
"126",152,1,3,58,61
"127",105,1,2,44,56
"128",28,1,2,50,41
"129",91,1,3,47,46
"130",45,1,1,29,26
"131",116,1,2,50,56
"132",33,1,1,54,56
"133",66,1,2,50,51
"134",72,1,2,47,46
"135",77,1,1,44,66
"136",61,1,3,67,66
"137",190,1,2,58,46
"138",42,1,2,44,56
"139",2,1,2,42,41
"140",55,1,2,44,61
"141",19,1,1,44,51
"142",90,1,3,50,52
"143",142,1,2,39,51
"144",17,1,2,44,41
"145",122,1,2,53,66
"146",191,1,3,48,61
"147",83,1,2,55,31
"148",182,1,2,44,51
"149",6,1,1,40,41
"150",46,1,1,34,41
"151",43,1,1,42,46
"152",96,1,3,58,56
"153",138,1,2,50,51
"154",10,1,2,53,61
"155",71,1,2,58,66
"156",139,1,2,55,71
"157",110,1,2,54,61
"158",148,1,2,47,61
"159",109,1,2,42,41
"160",39,1,3,61,66
"161",147,1,1,53,61
"162",74,1,2,51,58
"163",198,1,3,63,31
"164",161,1,1,61,61
"165",112,1,2,55,61
"166",69,1,1,40,31
"167",156,1,2,61,61
"168",111,1,1,47,36
"169",186,1,2,55,41
"170",98,1,1,53,37
"171",119,1,1,50,43
"172",13,1,2,47,61
"173",51,1,3,31,39
"174",26,1,3,61,51
"175",36,1,1,35,51
"176",135,1,1,54,66
"177",59,1,2,55,71
"178",78,1,2,53,41
"179",64,1,3,58,36
"180",63,1,1,56,51
"181",79,1,2,50,51
"182",193,1,2,39,51
"183",92,1,3,63,61
"184",160,1,2,50,61
"185",32,1,3,66,56
"186",23,1,1,58,71
"187",158,1,2,53,51
"188",25,1,2,42,36
"189",188,1,3,55,61
"190",52,1,1,53,66
"191",124,1,1,42,41
"192",175,1,3,50,41
"193",184,1,2,55,56
"194",30,1,3,34,51
"195",179,1,2,50,56
"196",31,1,2,42,56
"197",145,1,2,36,46
"198",187,1,2,55,52
"199",118,1,2,58,61
"200",137,1,3,53,61
