id,aa,pe,sm,ae,r,g,c
1,93,19,1,2,0,0,1
2,46,12,0,0,0,0,0
3,57,15,1,1,0,0,0
4,94,18,2,2,1,1,1
5,82,13,2,1,1,1,1
6,59,12,0,0,2,0,0
7,61,12,1,2,0,0,0
8,29,9,0,0,1,1,0
9,36,13,1,1,0,0,0
10,91,16,2,2,1,1,0
11,55,10,0,0,1,0,0
12,58,11,0,1,0,0,0
13,67,14,1,1,0,1,1
14,77,14,1,2,2,1,0
15,71,12,0,0,2,1,0
16,83,16,2,2,1,0,1
17,96,15,2,2,2,0,1
18,87,12,1,1,0,0,1
19,62,11,0,0,0,0,0
20,52,9,0,1,2,1,0
21,46,10,1,0,0,1,0
22,91,20,2,2,1,0,0
23,85,17,2,1,1,1,1
24,48,11,1,1,2,0,0
25,81,17,1,1,1,1,1
26,74,16,2,1,2,1,0
27,68,12,2,1,1,1,1
28,63,12,1,0,0,0,1
29,72,14,0,2,0,0,0
30,99,19,1,1,1,0,0
31,64,13,1,1,0,0,0
32,77,13,1,0,1,1,1
33,88,16,2,2,0,1,0
34,54,9,0,1,1,0,0
35,86,17,1,2,1,0,1
36,73,15,1,1,0,1,0
37,79,15,2,1,0,0,1
38,85,14,2,1,2,1,1
39,96,16,0,1,1,0,1
40,59,12,1,0,0,1,0
41,84,14,1,0,1,0,1
42,71,15,2,1,1,0,0
43,89,15,0,1,0,1,1
44,38,12,1,0,1,1,0
45,62,11,1,1,2,0,1
46,93,16,1,0,1,0,1
47,71,13,2,1,1,0,0
48,55,11,0,1,0,0,0
49,74,15,1,2,0,1,0
50,88,18,1,1,0,1,0
